source_id,internal_name,display_name_en,display_name_ar,description_en,description_ar,amount_minor,currency,category_path,category_section_id,image_url,published,is_available,sold_out,properties
69b1e185361fc7ae43f9b29c,chocolate-pudding,Chocolate Pudding,Chocolate Pudding,,,4000,AED,Dessert,674ca73df0cee26ce2968444,https://media.finedinemenu.com/MawZBMZR_/22489386-3d2c-4dad-991a-3d8c240ef86c.jpeg,true,true,false,new
674cb812d2746aa19cf6b07c,v60,V60,في ٦٠,,,3500,AED,Speciality Coffee / Filtered Coffee,674cb7eb3675fd23e99b8489,https://media.finedinemenu.com/MawZBMZR_/63c2530a-6d74-4539-b70c-dbd796c6ad7d.jpeg,true,true,false,
674cb7ad3d079540e0469d67,single-espresso,Single Espresso,إسبريسو,,,1600,AED,Speciality Coffee / Black Coffee,674cb70752f895a5b6f31b7b,https://media.finedinemenu.com/MawZBMZR_/f6b02f81-a112-4127-9dcf-f7f60c0031a6.jpeg,true,true,false,
6777ecc973c638297b2d4774,affogato,Affogato,Affogato,,,2500,AED,Speciality Coffee / Milk-base Coffee,674cb8d582fe974dd29f637b,https://media.finedinemenu.com/MawZBMZR_/764be522-aca2-4745-a976-66347dd6d780.jpeg,true,true,false,
67607c9774d38005c2c6c2ae,vanilla-frappe,Vanilla Frappe,Vanilla Frappe,,,3500,AED,Speciality Coffee / Frappes,676077d8623402209d07f27c,https://media.finedinemenu.com/MawZBMZR_/7b877f32-00cb-4915-b41e-1e246a902052.jpeg,true,true,false,
674cb41c71e1e924975c546c,frosty-blueberry,Frosty Blueberry,Frosty Blueberry,,,3500,AED,Beverages / Frosty Sips,674cb3f38be796a22d747cde,https://media.finedinemenu.com/MawZBMZR_/97c6c831-7551-469d-b512-381ee2037fee.jpeg,true,true,false,
674caf85f0cee26ce2974351,mango-smothie,Mango Smothie,Mango Smothie,,,3500,AED,Beverages / Smoothie,674caf7052f895a5b6f27bfb,https://media.finedinemenu.com/MawZBMZR_/5928831d-59fc-43c8-a547-95cd5fc823d6.jpeg,true,true,false,
674cb69d10710de2ab45301b,nutella-milkshake,Nutella Milkshake,Nutella Milkshake,,,3600,AED,Beverages / Milkshake,674cb63352f895a5b6f307d2,https://media.finedinemenu.com/MawZBMZR_/fab255c5-8d5f-41b6-9782-c806989393c4.jpeg,true,true,false,
674cb2673675fd23e99b226d,fresh-orange,Fresh orange,Fresh orange,,,2500,AED,Beverages / Fresh Juice,674cb009a17564e113216a7f,https://media.finedinemenu.com/MawZBMZR_/437e86ad-1d79-4a24-a0b1-ff70e29bcbef.jpeg,true,true,false,
674d7f6fed1302e151f0337b,cola,Cola,كولا,,,1200,AED,Beverages / Softdrinks,674d7f3c8104a31225bf1012,,true,true,false,
